ID_TRANSAZIONE,ID_CLIENTE,NOME,COGNOME,TELEFONO,EMAIL,INDIRIZZO_RESIDENZA,CITTA_RESIDENZA,NAZIONE_RESIDENZA,RISCHIO_NAZIONE_RESIDENZA,INDIRIZZO_IP,CITTA_LOCALIZZAZIONE,NAZIONE_LOCALIZZAZIONE,RISCHIO_NAZIONE_LOCALIZZAZIONE,N_CARTA_DI_CREDITO,IMPORTO_ORDINE,TIMESTAMP_ORDINE,PRODOTTO,QUANTITA,INDIRIZZO_SPEDIZIONE,CITTA_SPEDIZIONE,NAZIONE_SPEDIZIONE,RISCHIO_NAZIONE_SPEDIZIONE
1029,377,Kyle,Buck,1267693259,driley@small.info,"921 Villa Groves Suite 534
Delacruzfort, NV 80418",East Justin,Suriname,False,218.132.90.126,New Jasmine,Mauritius,False,1518557838,161,2021-05-09 21:10:54,Total executive migration,28,"43835 Barbara Trafficway Suite 051
Douglasview, NY 02200",East Lisa,Armenia,False
1030,481,Luke,Gibbs,1173250088,ortizjohn@gmail.com,"52744 Rogers Ways
South Mariafurt, CA 54375",North Kaylatown,Mayotte,False,78.197.119.147,Monteshaven,Mauritius,False,1580150668,1336,2020-07-27 07:05:53,User-centric clear-thinking customer loyalty,18,"82870 Garza Junction
Brendafort, IN 42258",West Kimberlyview,Portugal,False
1031,301,Darrell,Yates,1948505067,cookkatherine@gmail.com,"45478 Gentry Radial
Baileyport, IN 88501",Robinsonville,Niger,True,40.105.108.198,Patelberg,Lesotho,True,1358012433,1594,2021-04-17 19:21:18,Configurable value-added ability,35,"065 Christopher Vista
Lake Shelialand, KS 92322",North Jason,Tonga,True
1032,149,Robert,Williams,1874798124,sfrazier@sanchez-sanchez.info,"801 Heather Loaf Apt. 064
Whiteside, WV 38897",Davidhaven,Uganda,True,68.227.22.167,Lake Nancy,Guinea-bissau,False,1547612341,1843,2021-04-28 16:22:41,Fully-configurable bandwidth-monitored standardization,23,"01957 Joel Ramp
Brittneyhaven, CA 40326",Ramosland,Cook Islands,True
1033,11,Brittney,James,2033792713,wujames@yahoo.com,"6235 Mendez Plaza Apt. 913
South Jillmouth, WV 32917",Zacharyfort,Dominica,False,57.123.140.140,Kathrynborough,Mongolia,True,1784933909,698,2019-07-04 03:08:34,Distributed exuding orchestration,44,"7249 Dillon Rapids
Port Alexander, PA 91238",Dorothyberg,Russian Federation,True
1034,99,Adam,Ware,1290578457,justinortiz@hotmail.com,"8342 Johnson Viaduct Suite 887
Lake Aaronstad, VT 59257",West Scottchester,Burundi,False,216.92.49.205,Hahnbury,Cook Islands,True,1982969632,1640,2021-01-10 06:49:01,Polarized zero-defect data-warehouse,17,"Unit 1656 Box 9041
DPO AE 97281",Monicaport,Venezuela,True
1035,367,Robert,Mays,1996972720,myersjacob@hotmail.com,"3775 Erica Plains Apt. 981
Ellischester, WY 90401",New Christopherstad,El Salvador,False,78.23.247.43,Matthewbury,Paraguay,True,1592423105,1997,2021-09-08 18:56:05,Advanced disintermediate structure,15,"790 Steven Trail Suite 161
Jameschester, MA 52352",Sandersstad,United States of America,True
1036,12,Kevin,Cooper,1800955408,falvarez@yahoo.com,"8143 Gregory Manor Apt. 544
Lake Michellemouth, NC 68900",West Brenda,Vanuatu,True,157.209.61.236,Lake Eric,East Timor,True,1246355428,1013,2020-06-10 07:32:20,Adaptive impactful website,5,"2235 David Via Suite 397
Adamfort, MS 16248",South Mason,Norway,False
1037,400,Lori,Knight,1420554146,deborah82@johnson-dean.com,"972 Ritter Ford
Franklinhaven, SD 25799",Andreabury,Democratic People's Republic of Korea,False,112.156.157.99,Warrenside,Cocos (Keeling) Islands,False,1317347519,1115,2021-07-15 13:25:06,Implemented multimedia functionalities,12,"960 Clark Parks
Gainesborough, OH 68670",Port Kellyview,Switzerland,False
1038,475,Janet,Rush,1633890091,igonzales@yahoo.com,"07602 Stephanie Circles Apt. 492
Port Traciville, IL 24705",Lake Brittany,Cyprus,True,187.55.200.146,Peterstad,Sweden,True,1260821836,400,2022-04-26 14:23:13,Quality-focused optimal benchmark,6,"080 Jesse Brook
Myersfurt, KS 21111",Barbaraborough,Falkland Islands,True
1039,499,Jason,Wood,1984740455,cooleyeric@benitez-copeland.net,"860 Joseph Ports
New Michael, ME 06856",Johnsontown,Liberia,False,118.28.20.76,North Karenberg,Belize,False,1917513769,1999,2022-02-26 00:23:26,Extended directional complexity,33,"1278 Flores Haven
Englishchester, OR 51021",East Melissashire,Indonesia,False
1040,293,Carol,Casey,1585459020,jamieandrews@gmail.com,"23527 Alexander Ramp Apt. 420
Davidview, RI 59960",New Jessica,Barbados,True,209.208.30.16,Aliciashire,Faroe Islands,False,1945150490,39,2021-10-01 13:07:52,Ameliorated explicit hub,5,"2328 Perkins Loop Suite 801
Colechester, NC 89602",Coopermouth,Thailand,False
1041,444,John,Mclaughlin,1731820356,brandonboone@hotmail.com,"4843 Brown Cove
New Patricia, IL 80556",East Darin,China,True,195.3.120.212,New Todd,New Zealand,True,1254897182,1762,2020-04-01 13:01:52,Diverse mission-critical help-desk,47,"7647 Daniels Lodge Suite 554
Ryanton, MO 95900",North Alejandro,Turks And Caicos Islands,True
1042,190,Mary,Huff,1366653176,mary57@roberts.com,"USNS Parks
FPO AA 36243",West Laurenside,Sudan,False,125.243.234.198,New Joshua,Bosnia And Herzegovina,False,1542875407,1881,2019-08-27 12:31:06,Multi-lateral multimedia workforce,17,"4837 Samuel Flats Suite 089
Parkerhaven, CT 74722",Jenningsfurt,Sudan,False
1043,284,Bryan,Freeman,1388381768,marcusedwards@curtis.biz,"489 Wesley Springs Apt. 410
Port Ryanfort, PA 11268",Johnview,Samoa,False,47.110.103.122,Jenniferfurt,Brazil,False,1953531621,506,2021-11-19 00:26:53,Object-based asynchronous solution,44,"476 Kendra Oval
Lauramouth, GA 94994",North Bruce,Equatorial Guinea,True
1044,173,Rebecca,Wallace,1513068486,jeffrey77@hotmail.com,"896 Juarez Dam
Kelseyport, TX 98423",New Meghan,Tunisia,False,32.240.68.109,East Tarastad,Azerbaijan,False,1907867969,723,2020-05-03 16:48:20,Automated multi-state access,7,"64994 Austin Inlet
Lake Kirk, KY 52653",North Melissaside,Antigua And Barbuda,False
1045,427,Michael,Lopez,1838390308,melissaflores@gmail.com,"692 Rachel Highway Suite 881
Nicoleton, CO 43312",Brandonfort,Kyrgyzstan,False,28.183.131.181,Lake Michaelport,Vietnam,True,1527833973,141,2021-03-07 21:21:07,Automated uniform support,41,"503 Alexandria Inlet Apt. 940
Walkerland, OR 92538",North Sydneyland,Tonga,True
1046,92,Ronald,Livingston,1160140290,wilsonbonnie@silva.com,"676 Maurice Cape Suite 763
Lake Amy, TX 29473",Leeshire,Guatemala,True,135.88.79.41,Port Dalefort,Bosnia And Herzegovina,False,1574309164,1815,2022-02-23 11:52:42,Automated cohesive installation,16,"858 Castillo Rue
Timothymouth, OH 15144",Jameshaven,Guinea,False
1047,368,Scott,Wilson,1729670252,sheltonbradley@brown.info,"539 Joe Orchard Suite 597
Mortonside, MO 32994",South Erinburgh,Bermuda,False,173.25.190.92,North Erik,Burkina Faso,False,1856306348,1112,2021-03-13 08:00:14,Customizable analyzing hub,5,"61818 Tricia Inlet Apt. 427
Keithborough, NM 77875",Seanstad,Sierra Leone,True
1048,470,Nathan,Richard,1127786662,lutznatalie@gmail.com,"913 Greene Plains
Smithhaven, IL 35836",Taylorborough,Tonga,True,206.16.180.186,Coleside,Bhutan,True,1909162145,888,2020-08-12 17:47:04,Integrated multi-state implementation,50,"7649 Austin Crossroad
Noahmouth, CA 02830",West Chad,Guinea,False
1049,403,Katherine,Wood,1570553115,burkesean@yahoo.com,"6734 Wells Wells Apt. 651
East Melanie, MS 30275",Payneborough,Svalbard And Jan Mayen,True,209.204.68.11,West Matthew,Tanzania,True,1408349812,965,2021-09-01 19:21:30,Adaptive clear-thinking structure,19,"057 Christina Walk
East Jorgeland, MO 83576",Thomasmouth,Brazil,False
1050,91,Dustin,Bailey,1337286022,lindapetty@gmail.com,"7015 Amy Estates Apt. 775
Michaelberg, RI 24078",Alanburgh,Azerbaijan,False,146.122.241.159,East Kevintown,Togo,False,2054231819,615,2019-10-24 23:14:52,Function-based executive open system,50,"0476 Kennedy Stravenue Apt. 330
Deborahhaven, RI 77698",Lake Frank,United Kingdom,True
1051,420,Willie,Taylor,1258027591,johnwallace@gmail.com,"63439 Courtney Cove
East Bradley, NJ 61252",Moorechester,Guinea-bissau,False,104.178.242.70,Port Charles,Swaziland,True,1872048443,1584,2019-07-04 00:43:30,Digitized modular orchestration,17,"787 Nguyen Shoal
Wrightburgh, MA 44785",Port Rebeccamouth,Guatemala,True
1052,398,Timothy,Taylor,1946964939,chloewallace@yahoo.com,"8968 Megan Fort
Ayersview, VT 39666",New Michaelstad,United Kingdom,True,16.15.76.57,Gabriellamouth,Samoa,False,1566344038,1157,2021-01-08 08:32:22,Multi-layered maximized approach,18,"35632 Daniel Avenue
South Paul, DC 32185",Port Sandra,Netherlands Antilles,False
1053,213,Gary,Lewis,1248853133,rushsamantha@gmail.com,"90334 Aaron Turnpike Suite 733
Port Jesustown, MO 09360",West Michelleberg,Brazil,False,51.193.201.116,New Richardshire,Tokelau,True,1483828574,1648,2019-11-08 16:40:25,Inverse zero tolerance artificial intelligence,34,"978 Whitney Coves
North James, UT 65807",Andersonburgh,Guinea-bissau,False
1054,19,Chris,Johnson,1633795361,connorwaller@gmail.com,"4979 Deanna Park Suite 464
South Peterhaven, AK 35353",West Matthewfort,Guinea-bissau,False,45.212.105.246,Morrisview,Eritrea,True,1491042330,105,2019-11-28 02:50:15,Intuitive holistic open system,45,"28302 Johnson Meadows Suite 940
Michaelshire, VT 31099",Lake Carolmouth,Vanuatu,True
1055,128,Nicole,Nicholson,1487464898,sgarcia@gmail.com,"Unit 2984 Box 6754
DPO AP 51233",New Harry,Aruba,True,50.147.188.46,Williamsborough,Ukraine,False,1556455591,1237,2021-03-10 05:10:21,Focused impactful strategy,4,"0744 Smith Grove Apt. 907
New Christopher, ID 32991",Zhangfurt,The Republic of South Korea,True
1056,410,Wanda,Weaver,1571406513,stevenmathis@zhang.org,"225 Scott Curve
New Leahberg, IA 68426",North Kristineville,Myanmar,True,123.228.75.36,Lake James,Christmas Island,False,1502248579,1441,2019-08-26 04:43:57,Pre-emptive next generation success,23,"5916 Cruz Parkways Apt. 413
Stevenbury, ME 62620",West Diamondview,New Caledonia,False
1057,338,Stephanie,Hill,1702718010,dustin43@cruz-bryant.biz,"3462 Ryan Via
Clarkland, VT 96672",Fisherport,Namibia,False,161.47.16.249,Mitchellport,French Southern Territories,False,1299950407,490,2020-03-03 01:51:26,Triple-buffered user-facing throughput,10,"2921 Riley Wall
Rileyshire, NV 39858",Brianfort,Bosnia And Herzegovina,False
1058,339,Jamie,Poole,1590772873,edwardssean@hotmail.com,"8178 Luis Dale Suite 658
Brianshire, CT 44128",South Sarastad,Egypt,False,210.227.211.15,Thompsonfort,Guyana,True,1695250061,1878,2021-11-20 01:51:51,Future-proofed hybrid data-warehouse,11,"862 Anne Manor
South Margaret, NE 95622",Petersonmouth,Tanzania,True
1059,336,James,Sutton,1800046396,rsmith@yahoo.com,"429 Harrell Landing Suite 124
West James, WV 87012",Chelseafurt,Kosovo,True,71.249.186.45,New Kellyshire,Malta,True,1334598970,1299,2022-03-28 14:29:40,Enterprise-wide empowering standardization,43,"746 Justin Branch
Josephtown, LA 14435",North Valerieton,Costa Rica,True
1060,232,Dana,Collier,1708190980,nclark@brewer.com,"032 April Lakes Suite 944
West Jennifer, GA 20926",Scottbury,Bulgaria,False,200.115.246.213,North Debbie,Sudan,False,1866504206,1919,2019-11-04 09:21:12,Right-sized 24/7 solution,45,"634 Margaret Mountains
Parkermouth, KY 41296",West Stevenchester,Central African Republic,False
1061,81,Joshua,Gray,1585942922,tbeard@moore.org,"034 Kenneth Way
West Erinville, ND 60010",New Mark,New Zealand,True,74.38.45.10,Leeburgh,Panama,False,1133243800,456,2019-08-23 11:03:34,Monitored 4thgeneration secured line,9,"Unit 9588 Box 9119
DPO AP 45349",West Donnaton,Slovenia,True
1062,325,Tiffany,Flores,1965770707,moorenathan@thomas.com,"03219 Steven Crest Apt. 239
New Alexandra, NC 63004",Lake Stephen,Albania,True,168.41.222.191,South Lori,Rwanda,True,1972960879,737,2021-08-16 13:56:57,Re-engineered logistical project,44,"917 Hansen Landing Apt. 620
Port Paulville, AR 87597",Bellfurt,Georgia,False
1063,185,James,Small,1665972170,jamesmiller@wilson.com,"475 Lowery Village
Davisstad, ND 78107",East Martha,Burundi,False,57.251.143.156,Cassandrabury,Falkland Islands,True,1762129878,827,2020-06-23 00:21:43,Self-enabling static model,49,"USS Hess
FPO AE 75029",West James,Mexico,True
1064,172,Roy,Maddox,2032927821,hannah59@hotmail.com,"67269 Delgado Stream
Matthewland, VT 89775",Lake Linda,Barbados,True,65.77.149.60,Simonmouth,Australia,True,1726937809,1146,2020-06-24 17:51:45,Enterprise-wide uniform projection,25,"USNV Barrera
FPO AP 79911",Port Meganburgh,Guatemala,True
1065,250,David,Cruz,1695837975,weberdaniel@nguyen.org,"362 Phillips Lakes
New Mark, NJ 52761",Lawrenceborough,Burkina Faso,False,55.58.129.130,Port John,United States of America,True,1352118377,567,2021-02-27 01:38:48,Function-based scalable migration,13,"2875 Ray Circle Apt. 983
West Karl, NJ 48670",Hallborough,Montserrat,True
1066,369,Mark,Ruiz,1883755380,qthomas@sharp-bishop.com,"USCGC Fitzpatrick
FPO AA 26418",North Josephview,Morocco,True,105.167.125.75,Joneston,Italy,True,1212985259,1963,2021-04-02 05:02:03,Exclusive solution-oriented service-desk,7,"404 Cruz Burg
North Christian, RI 19652",West Alicialand,Peru,False
1067,497,Ashley,Shepard,1518709657,emily44@adkins.com,"1413 Steele Rue
West Andreton, AK 40881",Lake Jacob,Ukraine,False,210.109.147.244,Pattonmouth,Solomon Islands,False,1231950517,1505,2020-01-08 12:28:15,Open-architected dynamic pricing structure,8,"85861 Patrick Dam
West Colemouth, UT 25778",East Melissastad,Burundi,False
1068,411,Natasha,Rodriguez,1548846224,johnsonmatthew@jones.org,"04883 Austin Curve
Josephton, MI 42402",Bryanchester,Germany,False,66.59.107.242,West Jonathanland,Zimbabwe ,False,1987639019,472,2020-06-09 02:26:45,Open-source exuding function,21,"22228 Jenkins Wall Suite 117
Port Sethtown, DE 71027",East Andrewfort,Italy,True
1069,313,Jodi,Stephenson,2016526960,zbooth@allen.net,"087 Bell Motorway
Hillton, IA 44194",South Peterburgh,Central African Republic,False,105.125.249.10,East Ernestmouth,Palestinian Territory,True,1228656524,1220,2021-05-09 09:47:28,Enhanced analyzing knowledgebase,38,"24675 Brett Squares
Port Christinaview, DE 16793",Jessicashire,Azerbaijan,False
1070,168,Rodney,Dyer,1941460236,lballard@hotmail.com,"62200 Timothy Lodge
Baxterchester, GA 80071",East Richardville,Czech Republic,False,112.109.228.82,Priceton,French Southern Territories,False,1719879838,162,2022-03-13 19:01:59,Balanced grid-enabled projection,11,"66170 Olsen Manor
Nathanfurt, SD 98380",Port Randall,Cyprus,True
1071,477,Christopher,Barrett,1404226097,dustinshields@gmail.com,"8534 Rivera Burgs
Aaronbury, CO 24567",Carolynchester,Malawi,False,146.10.81.102,Hernandezshire,Bolivia,False,2014685122,1231,2019-06-15 10:57:41,Devolved radical paradigm,33,"302 Jimenez Locks
Vangburgh, OK 80984",North Maryshire,Denmark,False
1072,188,James,Ray,2024293876,fhoover@gmail.com,"309 Wendy Port Apt. 921
Andrewview, CO 85396",Willisburgh,Pakistan,False,4.23.157.45,Lake Melissa,Democratic People's Republic of Korea,False,1650104184,1111,2019-07-18 17:56:10,Multi-channeled cohesive project,23,"9834 Webster Skyway
South Jennifer, MD 55207",Meyerton,Uruguay,True
1073,170,James,Olson,1557559586,ashley69@gmail.com,"1824 Gray Plaza Apt. 672
Lake Jack, ND 53129",South Paulaport,Bermuda,False,102.221.197.219,Harriston,Bulgaria,False,1891316523,654,2020-04-27 00:01:26,Diverse content-based flexibility,16,"6880 Patton Square
Mitchellview, VA 16222",Alexandramouth,Maldives,True
1074,65,Jennifer,Watts,1895012867,sguerrero@hotmail.com,"6754 Clay Roads Suite 778
West Sophiafort, WY 45714",Burkebury,Vanuatu,True,107.227.89.72,North Nicolemouth,Mauritania,False,1675780886,329,2020-06-26 19:08:01,Mandatory exuding initiative,47,"Unit 0804 Box 3129
DPO AP 07078",Patriciafurt,Tokelau,True
1075,379,Melinda,Smith,1438912887,sheryl06@yahoo.com,"7984 Erin Field
Torresmouth, GA 19792",Port Justinland,Barbados,True,217.69.27.190,Heatherchester,Iraq,True,1985642913,1396,2019-09-20 06:02:46,Configurable local initiative,1,"9740 Marilyn Dam Apt. 577
Stevenbury, HI 43326",Gregoryfort,Canada,False
1076,172,Roy,Maddox,2032927821,hannah59@hotmail.com,"67269 Delgado Stream
Matthewland, VT 89775",Lake Linda,Barbados,True,208.38.222.136,Hollystad,The Republic of South Korea,True,1869259364,1516,2020-10-07 01:05:41,Future-proofed user-facing synergy,8,"2997 Carol Valleys Suite 385
North Hannahfurt, NV 83270",New Janet,The Republic of South Korea,True
1077,165,Brian,Wheeler,1201738952,jacobcannon@yahoo.com,"5313 Garcia Shoals
Lake Matthewtown, OH 77951",West Ethan,Namibia,False,125.105.45.6,New Evanfort,Turkmenistan,True,1126331256,1397,2020-12-25 14:41:27,Organic multimedia projection,17,"7920 Martha Square
Danashire, UT 58887",Port Brentstad,Gibraltar,False
1078,76,Megan,Barker,1488260155,katherine57@yahoo.com,"8732 Cooper Viaduct Suite 145
New Amber, AR 91000",Bautistaville,India,True,87.217.163.209,New Brian,Turkmenistan,True,2109758523,1938,2021-01-28 14:31:20,Compatible 3rdgeneration strategy,9,"91643 Justin Motorway
Christineport, WY 16438",Mahoneyland,Palestinian Territory,True
1079,473,Mark,Hines,1386819746,kelly24@gmail.com,"0071 Williams Corners Suite 751
Port Raymondburgh, TN 26965",Ruizberg,Cayman Islands,True,65.206.168.1,Andrewbury,Madagascar,False,1336859433,1165,2021-06-21 15:03:58,Centralized logistical productivity,25,"0913 Richard Fort Apt. 717
New Zacharyside, MA 49535",South Peter,Mauritius,False
1080,409,Denise,Jones,1418897408,dgonzales@stein-clark.info,"8364 Bryant Forges Apt. 081
Lopezberg, OH 58597",Oliviaberg,Aruba,True,73.66.19.222,Kochland,Svalbard And Jan Mayen,True,1749866787,1543,2021-07-18 09:08:12,Extended responsive architecture,26,"331 Martinez Brook Apt. 789
Nancyland, AZ 16337",East James,Democratic People's Republic of Korea,False
1081,246,Cynthia,Thomas,1967569837,edward67@gmail.com,"96772 Johnston Pine
Lake Brendanview, NJ 22740",East Stacy,Belgium,False,139.26.34.187,Mosesberg,Greenland,False,1142921941,159,2021-05-25 17:14:54,Multi-tiered responsive monitoring,36,"354 Cline Drives
Rachelborough, NY 35417",Lake Nicholas,Democratic People's Republic of Korea,False
1082,213,Gary,Lewis,1248853133,rushsamantha@gmail.com,"90334 Aaron Turnpike Suite 733
Port Jesustown, MO 09360",West Michelleberg,Brazil,False,164.206.221.189,North Joyce,Finland,False,1686461628,1559,2022-02-09 14:46:44,Expanded directional monitoring,14,"7835 Perez Ridge Suite 007
Higginshaven, DE 70088",East Richard,Costa Rica,True
1083,453,Nicole,Ramos,1910349653,kellergail@wilson.com,"8987 Glen Route Apt. 976
Josephborough, ME 40886",New Scottville,Bulgaria,False,161.87.6.56,Rebeccashire,Poland,True,1994091514,1523,2021-04-16 19:44:52,Versatile uniform capacity,22,"255 Tina Shores
Leontown, LA 11207",Lake Loriton,Grenada,False
1084,237,Samantha,Lin,1540427431,andrewglover@hotmail.com,"45267 Ryan Pike
Kayleeburgh, NY 68745",Lake Michaelmouth,Tonga,True,154.152.255.203,Tiffanyville,Brunei Darussalam,False,1111690041,1276,2020-04-15 23:57:50,Enterprise-wide well-modulated knowledge user,9,"69965 Wallace Springs Suite 603
Penaberg, IA 50652",North Emilyshire,Estonia,False
1085,129,Mary,Johnson,1432580132,jamesevans@white.com,"27294 Brooks Viaduct
West Mike, MS 26345",Lake Justinfurt,Macau,False,24.101.81.63,New Molly,Ukraine,False,1669405663,1576,2022-01-22 02:31:28,Implemented full-range attitude,18,"62095 Griffin Branch Suite 122
Lloydborough, NH 13118",Lake Melindaview,Central African Republic,False
1086,441,John,Gamble,1998842157,kimberlydavidson@moore.com,"28244 Anita Mount Suite 243
North Jamesbury, AK 38889",Lisastad,Saudi Arabia,False,22.46.225.213,West Susan,Haiti,False,2002076173,724,2021-11-18 09:27:24,Multi-tiered encompassing complexity,28,"60440 Stephen Oval Apt. 737
New Kyle, ME 50643",New Josephfurt,Chad,False
1087,96,Andrew,Hensley,1565424385,lnichols@stewart.com,"USCGC Wright
FPO AE 55428",South Adamside,Pakistan,False,198.23.205.214,West Emily,Gambia,True,1662896551,144,2022-04-19 14:47:39,Business-focused transitional approach,8,"1031 Steven Lodge
Michaelview, NJ 36195",Hendersonborough,Belarus,True
1088,187,Richard,Rodriguez,2107398840,mbennett@gmail.com,"3685 Hood Way Apt. 283
West Kimberly, NJ 70012",Port Christinatown,Mauritius,False,183.195.224.4,Williamfort,Cayman Islands,True,1464656528,1508,2021-06-23 04:34:27,Quality-focused zero administration customer loyalty,34,"528 Camacho Mall Suite 164
North Matthewton, AK 74655",Rowehaven,Sudan,False
1089,185,James,Small,1665972170,jamesmiller@wilson.com,"475 Lowery Village
Davisstad, ND 78107",East Martha,Burundi,False,144.146.101.148,Cooperfurt,Sweden,True,1772968206,817,2021-10-05 04:58:19,Multi-tiered multi-state function,29,"88602 Ebony Cliff Apt. 346
Brittanyhaven, AR 76462",Daughertybury,Ecuador,False
1090,454,Alan,Savage,1676522332,johnmcgee@hotmail.com,"4465 Jacob Hills
West Willie, IA 34933",East Johnland,Zimbabwe ,False,32.240.45.23,Rivasburgh,Togo,False,2005751483,1326,2022-04-29 01:59:16,Synchronized analyzing functionalities,15,"656 Trevor Ville
West Jamesberg, AR 77238",South Mark,French Guiana,True
1091,161,Danielle,Ortega,1389762117,davismelissa@west-robertson.biz,"4292 Amy Place
Timothyside, MN 43813",Nolantown,Israel,True,133.179.253.161,Karenfort,Azerbaijan,False,1368090042,1371,2020-07-23 08:34:40,Triple-buffered systematic artificial intelligence,19,"715 Chris Valley Suite 921
Blairstad, PA 63123",Sarahtown,Oman,False
1092,255,Amy,Watkins,1582630208,jonesrobert@yahoo.com,"269 Hansen Vista
Cameronville, WI 68911",North Andrea,Australia,True,137.114.134.197,Lake Paul,Iceland,False,1275049126,1712,2019-10-13 03:13:00,Quality-focused logistical throughput,6,"0794 Gonzalez Crossing
Keithfurt, DE 38968",Ericksonmouth,Macedonia,False
1093,72,Larry,Stevens,1871355451,jennifergrimes@mcdonald-ryan.org,"416 Angela Rest Suite 594
East Breanna, ND 48530",Meghanshire,Algeria,False,100.131.176.161,North David,Chad,False,1930990078,702,2022-04-11 07:45:10,Synergized logistical emulation,25,"738 Best Path
Port Michael, IN 75553",Ortegaside,Gambia,True
1094,376,Ashley,Martinez,1513823932,cummingsdaniel@orr.com,"PSC 6534, Box 1947
APO AE 32131",Woodsmouth,Latvia,True,109.148.169.187,Meganfort,Oman,False,1492369786,704,2021-09-06 02:40:46,Extended empowering structure,37,"9387 Liu Fall
South Christineside, DC 68826",New Lisa,Poland,True
1095,324,Angela,Clark,2052262636,ihill@hotmail.com,"582 Todd Neck
North Mackenzieburgh, NM 22654",Kellyberg,Israel,True,24.18.14.62,West Richardfort,Laos,True,1891383751,173,2020-08-21 19:47:16,Extended contextually-based matrices,37,"0210 Pearson Trail Apt. 451
West Cherylshire, NV 61955",South Jeffrey,Colombia,True
1096,321,Luke,Johnson,2013897254,uwalters@gmail.com,"55075 Todd Harbor
Fletchershire, VT 15586",Parksview,Saint Lucia,True,214.47.174.28,New Jeffrey,Lebanon,True,1189646677,593,2022-04-11 17:12:54,Persevering transitional data-warehouse,7,"Unit 0753 Box 3712
DPO AA 53360",Theresaport,Luxembourg,True
1097,296,Stacey,Davis,1667112962,vle@ray.biz,"654 Robert Ridges Suite 717
Adkinschester, NC 90572",Ashleyside,Mexico,True,187.208.165.194,Lake Michellestad,Falkland Islands,True,1728208087,152,2019-06-26 08:02:59,Innovative systematic software,27,"7672 Wright Canyon
Tammyfort, TN 47058",Wallport,Montenegro,False
1098,7,Aaron,Smith,1844197926,zjohnston@yahoo.com,"678 Mary Junctions Suite 271
East Staceymouth, DC 18140",Williamsland,Wallis And Futuna,True,133.13.200.41,Laurachester,Aruba,True,1587595698,600,2022-04-07 12:49:42,Digitized web-enabled orchestration,2,"004 Trevor Corners Apt. 664
South Lindsey, NY 44268",Sarahshire,American Samoa,True
1099,215,Linda,Klein,1284085862,andersonpatrick@hotmail.com,"509 Mckinney Radial Apt. 862
West Amber, ND 14918",South Rebecca,Sao Tome And Principe,True,80.28.225.86,Port Denise,United Arab Emirates,True,1563134385,218,2022-02-23 02:21:11,Enterprise-wide 4thgeneration portal,10,"PSC 4897, Box 7006
APO AE 39594",East Katherinehaven,Mexico,True
1100,97,Brian,Hernandez,1932338000,nwagner@gmail.com,"714 Richard Radial
Riosport, HI 69637",New Jasonchester,Palau,False,19.56.13.210,New Sharonton,Liechtenstein,False,1800318487,1555,2019-08-05 04:13:38,Compatible client-server archive,47,"1842 Alyssa Place
Hansonfurt, RI 31461",Pierceland,United States of America,True
1101,437,Paul,Rodriguez,1338563956,sullivanbryan@gmail.com,"200 Melissa Views Apt. 218
Burnettville, HI 52222",Patrickburgh,Ecuador,False,184.78.211.171,New Michael,Colombia,True,1804880931,678,2019-05-29 23:26:40,Persistent disintermediate attitude,24,"314 Rivera Forks Apt. 781
Janicefurt, MN 36514",Kyleton,Qatar,False
1102,362,Logan,Saunders,1231826739,astout@gmail.com,"7391 Franco Motorway Apt. 864
Lake Davidborough, RI 63296",Belindaport,Hungary,True,216.2.19.112,East Jeromeburgh,Estonia,False,1280539397,44,2021-06-23 16:50:11,User-centric intermediate software,14,"68697 Rachel Mews Suite 472
East Dianamouth, VA 80720",Port Johnberg,San Marino,True
1103,138,Lisa,Le,1903106515,jennifermurphy@phillips.info,"2112 Brittany Cape Suite 716
South Sarahmouth, PA 25724",East Stacy,Iran,True,80.111.177.67,Michaelfurt,Bangladesh,False,1692302730,312,2021-08-26 19:59:09,Synchronized composite toolset,12,"PSC 3453, Box 2136
APO AE 75100",South Amy,Malaysia,True
1104,22,Mark,Brewer,1206779327,keithwarner@patel.com,"436 Hernandez Squares
Aaronburgh, IA 32906",North Michaelhaven,Austria,True,115.203.68.138,Baileyburgh,Hungary,True,1922952717,417,2022-01-07 19:56:03,Intuitive scalable support,22,"8472 Cook Junctions Suite 221
Carlaborough, MO 37596",East Frankshire,Chad,False
1105,218,Karen,Duffy,1682437128,wardmelissa@hotmail.com,"USS Walker
FPO AP 18146",South Matthewfurt,Tokelau,True,3.124.151.154,Guerrerotown,Saint Lucia,True,1738926365,318,2020-07-16 04:27:36,Programmable empowering encoding,7,"0550 Jim Field
Evansland, DE 59723",Port Benjamin,Colombia,True
1106,435,Melissa,Clark,1402522560,jeremysnow@gmail.com,"92095 Hudson Prairie Apt. 205
West Marthatown, OK 93715",East Robert,El Salvador,False,89.72.116.104,West Tracy,Democratic People's Republic of Korea,False,1194105066,771,2021-12-20 04:59:19,Future-proofed tertiary infrastructure,9,"2689 Angela Flat
Bowmanstad, NE 27671",Patriciashire,Saudi Arabia,False
